Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,120.242124,-45.10286,180,top
C3,0.047u,C_0603_HandSoldering,131.185124,-48.84286,90,top
C4,0.047u,C_0603_HandSoldering,115.385124,-114.06286,-90,top
C5,0.047u,C_0603_HandSoldering,121.435124,-120.61286,180,top
C6,0.047u,C_0603_HandSoldering,68.367124,-56.10286,180,top
C7,0.047u,C_0603_HandSoldering,79.867124,-50.85286,-90,top
C8,0.047u,C_0603_HandSoldering,60.867124,-62.10286,90,top
C14,27p,C_0402_1005Metric,116.767124,-55.60286,-90,top
C15,27p,C_0402_1005Metric,121.279124,-51.32186,0,top
C16,10u,C_0805_2012Metric,51.567124,-67.20286,-90,top
C17,100n,C_0402_1005Metric,100.567124,-53.30286,180,top
C18,10u,C_0805_2012Metric,66.267124,-80.80286,0,top
C19,100n,C_0402_1005Metric,117.167124,-50.60286,0,top
C20,100n,C_0402_1005Metric,100.567124,-54.40286,180,top
C21,1u,C_0402_1005Metric,102.867124,-49.60286,180,top
C22,100n,C_0402_1005Metric,117.167124,-51.80286,0,top
C23,1u,C_0402_1005Metric,102.867124,-48.60286,180,top
C24,100n,C_0402_1005Metric,102.367124,-59.85286,-90,top
C25,100n,C_0402_1005Metric,114.967124,-58.42286,-90,top
C26,100n,C_0402_1005Metric,105.667124,-46.80286,90,top
C27,100n,C_0402_1005Metric,112.587124,-45.40286,0,top
C28,100n,C_0402_1005Metric,104.467124,-46.80286,90,top
C29,100n,C_0402_1005Metric,53.236313,-70.62286,-90,top
C30,100n,C_0402_1005Metric,90.418124,-51.95686,90,top
C31,100n,C_0402_1005Metric,93.466124,-58.68786,-90,top
C32,100n,C_0402_1005Metric,107.461524,-85.96746,90,top
D1,"CUS10S30,H3F",D_SOD-323,61.867124,-82.10286,-90,top
D2,M7C,D_SOD-123,78.867124,-79.11286,180,top
D5,"CUS10S30,H3F",D_SOD-323,112.846324,-42.33026,180,top
F1,Fuse,Fuse_1206_3216Metric,75.867124,-45.10286,0,top
J9,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,54.267124,-91.03786,0,top
J12,USB_C_Receptacle,Shou Han Type-C 24P QCHT,153.972646,-114.356859,90,top
Q1,Q_NMOS_GSD,SOT-23,76.367124,-48.60286,0,top
Q2,Q_PMOS_GDS,SOT-23,71.567124,-47.20286,90,top
Q3,Q_NMOS_GSD,SOT-23,80.657124,-46.35286,90,top
R1,180,R_0402_1005Metric,85.973124,-65.60286,-90,top
R2,180,R_0402_1005Metric,86.473124,-63.90286,180,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.385124,-110.11286,90,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.472624,-120.61286,0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.279624,-56.10286,0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.867124,-66.10286,-90,top
R7,180,R_0402_1005Metric,88.223124,-64.40286,90,top
R8,180,R_0402_1005Metric,88.223124,-66.50286,90,top
R9,180,R_0402_1005Metric,86.923124,-68.10286,90,top
R10,316,R_0402_1005Metric,89.973124,-63.90286,0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.067124,-43.01286,180,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.067124,-44.53286,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.567124,-48.30286,180,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.067124,-46.23286,0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.067124,-41.49286,-90,top
R16,1k,C_0402_1005Metric,92.867124,-51.60286,90,top
R18,1k,C_0402_1005Metric,117.167124,-53.00286,0,top
R19,316,R_0402_1005Metric,89.973124,-65.10286,0,top
R20,27,C_0402_1005Metric,102.867124,-51.60286,0,top
R21,27,C_0402_1005Metric,102.867124,-50.60286,0,top
R22,22R,R_1206_3216Metric,84.97,-74.23,90,top
R23,5.1k,R_0402_1005Metric,61.107124,-91.75286,0,top
R24,316,R_0402_1005Metric,89.973124,-66.30286,0,top
R25,316,R_0402_1005Metric,89.973124,-67.50286,0,top
R26,5.1k,R_0402_1005Metric,61.107124,-90.48286,0,top
R27,5.1k,R_0402_1005Metric,147.962646,-102.356859,90,top
R28,5.1k,R_0402_1005Metric,149.182646,-102.356859,90,top
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.367124,-46.10286,-90,top
U1,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,86.067124,-54.40286,-90,top
U3,MCP3202,SOIC-8_3.9x4.9mm_P1.27mm,109.385124,-91.01286,0,top
U4,DRV5055A3xDBZxQ1,SOT-23,123.583124,-103.51286,90,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.767124,-82.40286,180,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,96.867124,-61.60286,0,top
U8,RP2040,RP2040-QFN-56,109.867124,-52.60286,90,top
U9,DRV5055A3xDBZxQ1,SOT-23,132.285124,-112.21286,0,top
U10,DRV5055A3xDBZxQ1,SOT-23,69.218059,-73.414075,-93,top
U11,DRV5055A3xDBZxQ1,SOT-23,78.342124,-65.17786,-3,top
U12,USBLC6-2P6,SOT-666,61.367124,-87.10286,-90,top
U13,USBLC6-2P6,SOT-666,106.547124,-41.54286,90,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.767124,-54.25286,180,top
